iter	Passed	Remaining
576	11288	23925
577	11306	23903
578	11324	23881
579	11341	23856
580	11362	23839
581	11378	23811
582	11396	23790
583	11415	23768
584	11433	23746
585	11454	23730
586	11474	23711
587	11493	23691
588	11516	23677
589	11535	23656
590	11552	23633
591	11570	23609
592	11586	23583
593	11604	23561
594	11624	23542
595	11641	23517
596	11659	23495
597	11676	23470
598	11692	23443
599	11710	23421
600	11727	23395
601	11746	23374
602	11764	23354
603	11783	23332
604	11803	23313
605	11818	23285
606	11834	23259
607	11851	23235
608	11869	23212
609	11885	23185
610	11902	23161
611	11919	23138
612	11937	23115
613	11953	23089
614	11970	23066
615	11989	23044
616	12006	23020
617	12025	23000
618	12044	22979
619	12062	22957
620	12082	22939
621	12097	22911
622	12112	22884
623	12127	22855
624	12142	22827
625	12160	22804
626	12177	22782
627	12195	22760
628	12212	22735
629	12227	22707
630	12243	22682
631	12261	22660
632	12280	22639
633	12295	22612
634	12313	22591
635	12330	22567
636	12346	22541
637	12361	22514
638	12379	22492
639	12399	22473
640	12420	22456
641	12439	22437
642	12460	22420
643	12479	22400
644	12501	22385
645	12520	22366
646	12539	22346
647	12559	22327
648	12579	22309
649	12601	22294
650	12621	22276
651	12648	22270
652	12670	22256
653	12689	22234
654	12705	22210
655	12723	22188
656	12741	22166
657	12757	22141
658	12774	22118
659	12791	22095
660	12809	22072
661	12827	22051
662	12847	22032
663	12867	22013
664	12883	21989
665	12900	21965
666	12919	21945
667	12939	21926
668	12961	21913
669	12980	21892
670	12998	21870
671	13017	21851
672	13038	21833
673	13056	21812
674	13072	21788
675	13089	21764
676	13107	21742
677	13123	21717
678	13140	21693
679	13157	21670
680	13173	21645
681	13191	21624
682	13209	21603
683	13226	21579
684	13242	21554
685	13260	21533
686	13276	21509
687	13294	21487
688	13313	21467
689	13333	21449
690	13350	21426
691	13369	21406
692	13386	21383
693	13402	21358
694	13420	21337
695	13439	21318
696	13459	21299
697	13476	21277
698	13495	21257
699	13512	21233
700	13529	21210
701	13546	21188
702	13569	21174
703	13585	21150
704	13603	21128
705	13620	21106
706	13638	21085
707	13658	21066
708	13678	21048
709	13696	21027
710	13716	21008
711	13734	20987
712	13751	20964
713	13767	20940
714	13783	20916
715	13799	20892
716	13815	20867
717	13831	20842
718	13847	20818
719	13862	20794
720	13878	20770
721	13896	20747
722	13913	20725
723	13927	20698
724	13941	20672
725	13957	20648
726	13972	20622
727	13989	20599
728	14004	20574
729	14020	20550
730	14037	20527
731	14053	20504
732	14069	20480
733	14084	20455
734	14100	20431
735	14116	20407
736	14133	20385
737	14149	20360
738	14163	20335
739	14179	20310
740	14194	20286
741	14210	20262
742	14227	20240
743	14244	20217
744	14261	20195
745	14276	20171
746	14292	20146
747	14309	20124
748	14325	20101
749	14341	20078
750	14356	20053
751	14372	20030
752	14390	20008
753	14406	19985
754	14420	19959
755	14435	19935
756	14453	19913
757	14470	19892
758	14486	19868
759	14501	19843
760	14518	19822
761	14535	19800
762	14552	19777
763	14566	19752
764	14582	19729
765	14600	19708
766	14618	19688
767	14634	19664
768	14649	19640
769	14663	19615
770	14678	19590
771	14694	19566
772	14709	19542
773	14724	19518
774	14739	19494
775	14755	19471
776	14771	19448
777	14786	19423
778	14802	19400
779	14820	19380
780	14838	19360
781	14856	19340
782	14873	19317
783	14889	19295
784	14906	19273
785	14921	19249
786	14938	19227
787	14955	19206
788	14970	19182
789	14986	19160
790	15000	19135
791	15016	19111
792	15033	19090
793	15049	19068
794	15064	19044
795	15080	19021
796	15096	18998
797	15111	18974
798	15127	18951
799	15142	18928
800	15161	18909
801	15181	18892
802	15199	18872
803	15217	18851
804	15232	18828
805	15249	18806
806	15265	18783
807	15280	18760
808	15296	18737
809	15314	18718
810	15330	18695
811	15348	18675
812	15365	18653
813	15381	18631
814	15397	18609
815	15416	18590
816	15432	18567
817	15449	18547
818	15466	18526
819	15481	18502
820	15497	18479
821	15512	18456
822	15527	18432
